备盒,没家斥_14技固父,没家斥_14技,没家斥_15技,没家斥_16技,没家斥_17技,没家斥_18技,19技,20技,21_25,26_30,31_35,36_40,41_45,46_50,51_55,56_60,61_64,65_70,71捞惑,固惑
2014,0,23,23,31,50,56,45,17,173,135,104,95,83,73,57,43,11,8,12,53
2015,0,29,37,43,43,37,53,28,161,96,105,63,81,80,66,40,21,28,5,50
2016,0,43,55,63,50,37,31,29,169,136,111,60,78,75,75,50,16,27,14,44
2017,4,34,47,85,51,44,41,46,199,157,106,80,65,69,78,77,17,37,20,67
2018,1,32,47,36,62,58,43,33,219,181,126,105,90,96,84,84,47,30,38,170
2019,1,55,42,36,44,48,51,40,217,198,120,109,98,90,84,57,46,30,36,189
2020,4,65,80,103,82,63,56,57,310,297,145,151,99,103,106,103,58,51,55,312
2021,4,156,175,169,216,174,151,144,990,899,413,253,154,137,149,98,57,45,58,549
2022,2,237,372,445,408,404,398,290,2225,1903,871,403,277,196,144,95,69,68,48,1605
2023,0,272,324,327,309,319,324,270,1866,1491,732,326,198,156,132,100,92,59,57,1
